0;-1.70;-0.65;19.44;2.62;-0.22;-2.97
1;-2.47;-1.18;18.52;2.98;-0.90;-2.94
2;-3.46;-1.57;15.47;3.24;-1.42;-2.88
3;-5.13;-0.78;11.97;3.32;-1.75;-2.78
4;-7.33;0.39;9.60;3.22;-2.10;-2.59
5;-9.28;1.94;8.10;3.07;-2.28;-2.32
6;-10.96;3.34;8.40;2.92;-2.35;-1.92
7;-11.30;3.63;9.94;2.95;-2.00;-1.39
8;-11.85;3.30;10.11;3.17;-1.24;-0.76
9;-12.40;3.45;8.12;3.41;-0.53;-0.03
10;-11.97;3.57;4.50;3.51;0.13;0.73
11;-11.16;3.59;0.33;3.38;0.84;1.50
12;-9.40;3.81;-3.05;3.00;1.49;2.25
13;-7.56;3.76;-5.30;2.42;1.95;2.90
14;-5.42;3.10;-6.24;1.72;2.01;3.39
15;-3.44;2.48;-6.97;0.98;1.90;3.74
16;-0.45;1.10;-7.74;0.25;2.10;4.01
17;3.53;-0.73;-8.64;-0.45;3.38;4.17
18;6.37;-2.18;-10.10;-1.33;4.87;4.01
19;8.78;-3.71;-10.82;-2.48;5.38;3.46
20;10.38;-5.44;-11.30;-3.73;5.13;2.66
21;10.89;-8.15;-11.20;-4.97;4.45;1.76
22;11.03;-10.19;-7.86;-6.22;3.20;0.85
23;11.37;-12.92;-0.76;-7.10;2.22;-0.00
24;10.74;-12.42;11.55;-7.53;0.81;-0.80
25;13.23;-13.49;25.90;-7.04;-0.19;-1.44
26;13.03;-8.96;35.40;-5.74;-0.47;-2.01
27;14.21;-7.29;39.77;-4.19;-0.85;-2.60
28;12.55;-5.62;37.00;-2.48;-0.37;-3.12
29;10.76;-5.27;30.57;-1.25;-0.57;-3.60
30;8.80;-5.34;25.54;-0.41;-0.68;-3.99
31;7.48;-5.14;23.88;0.11;-1.13;-4.32
32;5.74;-5.13;25.34;0.64;-1.69;-4.61
33;2.24;-4.50;27.05;1.27;-1.96;-4.78
34;-0.48;-4.11;26.19;1.98;-1.84;-4.74
35;-3.62;-3.70;24.55;2.66;-1.77;-4.52
36;-5.45;-3.49;21.53;3.25;-1.73;-4.16
37;-6.79;-2.67;17.53;3.70;-1.65;-3.72
38;-7.83;-2.02;13.44;3.85;-2.29;-3.34
39;-7.91;-0.91;9.46;3.83;-2.98;-3.03
40;-8.06;0.79;6.01;3.63;-3.26;-2.70
41;-8.48;2.25;4.44;3.33;-3.19;-2.28
42;-8.19;3.00;4.36;3.11;-2.53;-1.77
43;-9.47;3.08;4.02;3.05;-1.42;-1.10
44;-11.48;3.94;2.86;2.91;-0.92;-0.33
45;-11.36;4.39;1.60;2.75;-0.33;0.48
46;-11.58;4.64;-0.22;2.51;0.39;1.34
47;-11.01;4.07;-1.73;2.17;1.05;2.21
48;-9.37;3.06;-3.03;1.72;1.57;3.06
49;-7.92;2.24;-3.71;1.10;1.80;3.77
50;-5.11;0.46;-3.04;0.44;1.78;4.34
51;-2.09;-1.25;-2.29;-0.12;2.13;4.76
52;1.61;-2.86;-1.82;-0.60;3.35;5.02
53;3.20;-4.41;-2.82;-1.19;4.58;5.05
54;4.70;-5.90;-3.34;-1.97;5.14;4.84
55;6.19;-7.55;-2.68;-2.90;5.00;4.45
56;9.78;-8.49;1.09;-3.61;6.01;4.02
57;12.96;-10.03;7.45;-4.10;7.08;3.36
58;15.93;-9.71;14.28;-4.23;6.96;2.37
59;21.49;-9.96;21.08;-4.11;4.66;0.90
60;25.67;-9.84;22.08;-3.52;2.99;-0.85
61;22.77;-8.87;18.12;-3.11;1.38;-2.59
62;17.77;-8.22;18.41;-3.14;-0.89;-3.88
63;15.17;-9.39;24.72;-2.98;-2.65;-4.75
64;10.32;-8.99;29.44;-2.26;-3.03;-5.39
65;5.59;-7.85;30.98;-1.44;-3.39;-5.66
66;2.82;-7.03;30.14;-0.54;-3.23;-5.61
67;1.51;-6.91;27.38;0.35;-2.57;-5.41
68;0.08;-6.00;22.59;1.05;-2.30;-5.22
