


 Movement
0;-4.26;0.16;13.55;2.01;-0.52;-2.44
1;-4.39;1.03;14.66;2.18;-0.53;-2.06
2;-3.93;1.52;15.64;2.49;-0.39;-1.71
3;-4.15;0.41;14.38;2.92;0.03;-1.33
4;-5.59;1.05;10.12;3.24;0.20;-0.85
5;-6.16;2.38;5.48;3.23;0.01;-0.35
6;-6.05;3.09;2.46;2.95;-0.32;0.09
7;-5.74;3.60;0.89;2.59;-0.45;0.49
8;-5.77;4.01;0.23;2.23;-0.35;0.90
9;-5.51;4.07;-0.04;1.91;-0.02;1.36
10;-4.97;3.98;-0.46;1.65;0.81;1.90
11;-4.68;3.44;-1.28;1.34;1.49;2.45
12;-3.48;2.50;-1.73;0.94;1.75;2.95
13;-1.96;1.24;-2.16;0.47;1.82;3.34
14;0.50;0.00;-1.85;-0.01;2.19;3.62
15;1.62;-0.88;-1.85;-0.50;2.85;3.77
16;2.61;-1.25;-0.74;-1.08;3.08;3.82
17;4.70;-2.53;1.75;-1.59;3.28;3.77
18;6.01;-2.87;4.42;-1.93;3.63;3.62
19;7.71;-3.68;7.03;-2.19;3.42;3.35
20;9.32;-3.32;9.94;-2.34;2.92;2.93
21;11.80;-3.90;13.01;-2.32;2.51;2.43
22;12.55;-3.26;13.79;-2.11;2.37;1.84
23;13.32;-3.35;13.12;-1.98;1.80;1.22
24;13.48;-3.30;11.38;-1.88;1.48;0.58
25;13.38;-3.11;10.96;-1.99;0.81;-0.08
26;12.84;-3.58;12.07;-2.01;0.37;-0.73
27;11.71;-3.47;13.02;-1.97;-0.18;-1.29
28;11.38;-3.87;13.85;-1.86;-0.38;-1.77
29;10.57;-3.67;14.95;-1.76;-0.72;-2.21
30;10.30;-4.05;16.84;-1.59;-1.07;-2.64
31;9.26;-4.15;18.10;-1.30;-1.24;-3.02
32;8.10;-4.04;18.93;-0.99;-1.46;-3.32
33;6.62;-3.91;19.18;-0.63;-1.51;-3.54
34;5.10;-3.61;19.46;-0.29;-1.70;-3.70
35;3.53;-3.22;19.87;0.07;-1.78;-3.76
36;2.31;-3.20;20.22;0.48;-1.70;-3.74
37;0.87;-3.01;19.64;0.96;-1.56;-3.63
38;-0.62;-2.76;18.54;1.39;-1.53;-3.46
39;-1.56;-2.29;16.81;1.78;-1.37;-3.21
40;-2.98;-1.29;14.39;2.07;-1.17;-2.90
41;-3.90;-0.23;13.07;2.22;-1.10;-2.54
42;-4.11;0.47;12.86;2.36;-1.10;-2.20
43;-3.50;1.23;13.38;2.59;-0.78;-1.84
44;-3.66;1.05;12.97;2.89;-0.29;-1.49
45;-3.74;1.61;11.16;3.21;-0.01;-1.09
46;-3.93;2.26;7.92;3.43;0.51;-0.62
47;-3.95;2.75;4.69;3.49;1.14;-0.11
48;-4.25;2.90;2.22;3.34;1.50;0.40
49;-4.55;3.41;0.73;3.00;1.21;0.85
50;-4.02;3.69;0.16;2.62;0.93;1.28
51;-3.29;3.46;-0.27;2.27;1.14;1.69
52;-2.80;3.40;-1.03;1.90;1.58;2.08
53;-2.37;3.30;-1.76;1.46;1.99;2.43
54;-1.63;2.78;-2.20;0.94;2.23;2.74
55;-0.03;2.06;-2.56;0.41;2.64;2.98
56;0.93;1.60;-2.82;-0.16;3.26;3.12
57;1.17;0.84;-2.59;-0.86;3.27;3.14
58;2.17;-0.03;-2.09;-1.52;2.98;3.13
59;3.69;-1.26;-0.87;-2.13;3.15;3.06
60;4.54;-1.49;2.49;-2.76;3.02;2.84
61;6.28;-2.54;7.34;-3.09;2.62;2.53
62;7.00;-1.79;11.54;-3.10;2.18;2.16
63;8.87;-2.32;14.72;-2.90;1.77;1.76
64;9.17;-2.06;14.39;-2.50;1.97;1.31
65;8.90;-2.21;12.07;-2.30;1.77;0.83
66;7.85;-1.89;11.83;-2.35;1.17;0.39
67;8.89;-2.49;15.26;-2.31;0.48;-0.01
68;9.62;-2.15;17.89;-1.98;0.12;-0.43
69;10.32;-2.55;18.75;-1.58;-0.31;-0.90
70;10.33;-2.74;17.61;-1.16;-0.39;-1.39
71;9.95;-2.67;15.95;-0.88;-0.64;-1.85
72;9.69;-2.92;15.19;-0.71;-0.87;-2.29
73;8.70;-2.82;15.28;-0.60;-1.33;-2.73
74;7.54;-2.94;15.91;-0.49;-1.84;-3.10
75;6.20;-2.98;16.51;-0.33;-2.16;-3.37
76;4.91;-2.77;17.03;-0.11;-2.24;-3.53
77;3.54;-2.46;17.05;0.16;-2.19;-3.60
78;1.94;-2.29;16.34;0.42;-2.22;-3.61
79;0.27;-1.66;15.38;0.60;-2.46;-3.55
80;-0.62;-1.17;14.68;0.74;-2.58;-3.42
81;-1.33;-0.50;15.36;0.92;-2.35;-3.23
82;-1.79;-0.07;16.16;1.22;-1.71;-2.97
83;-3.11;-0.03;15.89;1.62;-1.08;-2.61
84;-4.33;0.58;14.33;2.00;-0.76;-2.17
85;-4.89;0.90;12.12;2.27;-0.42;-1.68
86;-5.19;1.72;10.03;2.42;0.00;-1.19
87;-5.22;2.24;8.59;2.45;0.26;-0.70
88;-5.50;2.55;7.40;2.41;0.25;-0.23
89;-5.41;2.94;6.19;2.32;0.07;0.24
90;-5.26;3.29;5.01;2.20;0.17;0.74
91;-5.03;3.37;3.91;2.05;0.49;1.25
92;-4.49;3.04;2.89;1.84;0.85;1.75
93;-3.57;2.84;2.04;1.59;1.24;2.22
94;-2.47;2.15;1.16;1.30;1.86;2.63
95;-1.06;1.70;-0.01;0.96;2.62;3.00
96;0.22;1.31;-0.89;0.50;3.34;3.30
97;1.07;0.92;-0.96;-0.06;3.53;3.44
98;2.46;0.38;0.14;-0.70;3.11;3.46
99;4.45;-0.47;1.58;-1.20;2.99;3.35
100;5.45;-1.13;2.60;-1.61;3.20;3.14
101;5.51;-1.46;3.79;-2.00;3.28;2.85
102;5.23;-1.10;6.34;-2.39;2.69;2.56
103;6.55;-1.98;9.08;-2.53;1.96;2.29
104;7.34;-1.90;9.84;-2.49;1.76;1.99
105;8.34;-2.43;9.74;-2.48;1.62;1.62
106;8.06;-2.32;9.60;-2.51;1.38;1.20
107;9.21;-2.60;11.43;-2.54;1.21;0.78
108;9.05;-2.51;12.79;-2.39;1.24;0.33
109;8.92;-2.56;12.72;-2.25;0.80;-0.10
110;8.92;-2.82;12.26;-2.16;0.48;-0.53
111;9.61;-2.92;13.94;-2.13;0.09;-0.97
112;10.35;-3.30;17.04;-1.92;-0.10;-1.45
113;10.34;-3.45;18.84;-1.53;-0.37;-1.94
114;9.80;-3.56;18.99;-1.15;-0.71;-2.42
115;8.66;-3.97;18.42;-0.81;-1.02;-2.87
116;7.30;-4.19;17.87;-0.52;-1.23;-3.23
117;5.97;-4.56;17.59;-0.25;-1.39;-3.50
118;3.87;-4.65;17.00;0.00;-1.58;-3.71
119;2.13;-4.37;16.57;0.19;-1.85;-3.80



 Movement
0;-1.01;-1.62;15.09;1.00;-1.02;-3.11
1;-1.73;-1.14;15.22;1.32;-0.80;-2.79
2;-2.59;-0.44;14.76;1.66;-0.58;-2.43
3;-3.34;0.11;13.46;1.97;-0.41;-2.03
4;-4.00;0.73;11.72;2.22;-0.20;-1.60
5;-4.24;1.27;10.03;2.38;0.02;-1.13
6;-4.15;1.82;8.53;2.45;0.19;-0.65
7;-4.16;1.72;7.17;2.48;0.28;-0.22
8;-4.62;2.60;5.45;2.39;0.11;0.19
9;-4.24;2.89;4.25;2.21;-0.01;0.59
10;-3.71;2.99;3.31;2.03;0.27;1.03
11;-2.73;2.91;2.88;1.83;0.79;1.47
12;-2.06;2.64;2.62;1.62;1.27;1.87
13;-1.30;2.41;2.37;1.38;1.53;2.23
14;-0.63;1.97;1.84;1.10;1.70;2.55
