1.659083333333333465e+00,6.258616992572897608e+00,-9.460000000000000853e+00,1.128999999999999915e+01,5.030741299999999683e+03,-1.061416666666666453e+00,2.542125847866090638e+00,-6.330000000000000071e+00,3.049999999999999822e+00,9.106811000000000149e+02,9.245666666666666700e+00,9.836238587771015673e+00,-5.099999999999999645e+00,2.658999999999999986e+01,2.186807300000000032e+04,8.899999999999999578e-02,2.302613153209486452e+00,-4.839999999999999858e+00,3.240000000000000213e+00,6.371938000000000102e+02,6.073333333333332806e-01,2.125886377229246005e+00,-3.049999999999999822e+00,4.400000000000000355e+00,5.865896000000000186e+02,1.124999999999999438e-02,2.367178194426153848e+00,-4.110000000000000320e+00,3.020000000000000018e+00,6.724391000000000531e+02
-6.334749999999999659e+00,1.020573947692342998e+01,-2.694000000000000128e+01,6.190000000000000391e+00,1.731434109999999782e+04,5.615833333333333233e-01,2.740709152705230522e+00,-2.250000000000000000e+00,6.370000000000000107e+00,9.392235000000000582e+02,-8.623833333333331908e+00,1.334587752724496568e+01,-3.860000000000000142e+01,8.990000000000000213e+00,3.029795379999999932e+04,-1.101666666666666766e-01,2.001844559122632816e+00,-3.439999999999999947e+00,3.359999999999999876e+00,4.823421999999999343e+02,-5.166666666666666630e-02,9.149711592297443685e-01,-2.490000000000000213e+00,1.320000000000000062e+00,1.007810000000000059e+02,1.057500000000000107e-01,1.405741004180120379e+00,-2.609999999999999876e+00,2.270000000000000018e+00,2.384748999999999910e+02
3.092249999999999499e+00,7.858862031967478678e+00,-9.869999999999999218e+00,1.680000000000000071e+01,8.558846700000000055e+03,-2.103000000000000203e+00,3.042498589427227174e+00,-7.500000000000000000e+00,3.620000000000000107e+00,1.641528799999999819e+03,1.055100000000000016e+01,9.876601591640719491e+00,-4.889999999999999680e+00,2.792000000000000171e+01,2.506450319999999920e+04,1.998333333333333350e-01,2.658341583059299573e+00,-4.320000000000000284e+00,4.129999999999999893e+00,8.528056000000000267e+02,-5.312499999999998890e-01,1.347220943584731101e+00,-4.169999999999999929e+00,1.669999999999999929e+00,2.516676999999999964e+02,4.407500000000000306e-01,2.823517653123493343e+00,-4.429999999999999716e+00,4.190000000000000391e+00,9.799814999999999827e+02
2.590166666666666728e+00,5.937735396503358132e+00,-6.459999999999999964e+00,1.272000000000000064e+01,5.035879800000000614e+03,-2.595416666666666483e+00,2.969858833859877922e+00,-7.860000000000000320e+00,2.700000000000000178e+00,1.866749900000000025e+03,9.994083333333332320e+00,6.352305289661034138e+00,-5.699999999999999512e-01,2.157000000000000028e+01,1.682801809999999750e+04,-1.151666666666666533e-01,2.205146625258485926e+00,-3.750000000000000000e+00,3.299999999999999822e+00,5.851121999999999161e+02,-5.667499999999999760e-01,5.219916386622809323e-01,-1.770000000000000018e+00,3.599999999999999867e-01,7.124170000000000869e+01,3.778333333333333544e-01,2.312443939260414361e+00,-3.410000000000000142e+00,3.580000000000000071e+00,6.588185999999999467e+02
4.283749999999999503e+00,9.996189195763554025e+00,-1.294999999999999929e+01,2.032000000000000028e+01,1.419291749999999956e+04,-1.640916666666666801e+00,2.542800292274029150e+00,-5.179999999999999716e+00,3.069999999999999840e+00,1.099012899999999945e+03,8.964750000000000441e+00,9.978422300352228547e+00,-6.650000000000000355e+00,2.494000000000000128e+01,2.159227850000000035e+04,5.566666666666665597e-02,1.661277487022829957e+00,-2.720000000000000195e+00,2.729999999999999982e+00,3.315529999999999973e+02,-2.558333333333333640e-02,1.161043923826982294e+00,-2.109999999999999876e+00,2.759999999999999787e+00,1.618412999999999897e+02,4.649999999999999967e-02,1.856717376626466187e+00,-2.479999999999999982e+00,3.419999999999999929e+00,4.139474000000000160e+02
3.220750000000000224e+00,8.453012102450028209e+00,-1.391999999999999993e+01,1.937000000000000099e+01,9.819197299999999814e+03,-1.516249999999999876e+00,3.109171932229973567e+00,-6.959999999999999964e+00,5.030000000000000249e+00,1.435915700000000015e+03,8.885999999999999233e+00,1.135534722792159634e+01,-9.539999999999999147e+00,2.712999999999999901e+01,2.494858879999999772e+04,-4.141666666666665025e-02,2.015165541518170844e+00,-3.029999999999999805e+00,3.359999999999999876e+00,4.875128999999999451e+02,-5.166666666666665936e-02,1.635258559236292486e+00,-2.720000000000000195e+00,3.640000000000000124e+00,3.212087999999999965e+02,2.565000000000000058e-01,1.773244977435435965e+00,-2.560000000000000053e+00,3.470000000000000195e+00,3.852228000000000065e+02
3.100166666666666959e+00,1.084658540611847322e+01,-2.044000000000000128e+01,2.251999999999999957e+01,1.527113379999999961e+04,8.065833333333333188e-01,1.648920604432554837e+00,-1.409999999999999920e+00,5.419999999999999929e+00,4.043419000000000096e+02,-2.683500000000000441e+00,1.100919953569135146e+01,-1.741000000000000014e+01,2.280000000000000071e+01,1.540843760000000111e+04,2.212500000000000022e-01,1.503301678805687880e+00,-3.250000000000000000e+00,3.129999999999999893e+00,2.770641000000000531e+02,-8.216666666666666563e-01,2.747761310998869000e+00,-8.730000000000000426e+00,4.110000000000000320e+00,9.870394000000001142e+02,2.079166666666666663e-01,2.263660713620503806e+00,-3.990000000000000213e+00,4.290000000000000036e+00,6.200867000000000644e+02
2.797083333333333588e+00,9.457103009187797227e+00,-1.130000000000000071e+01,2.005999999999999872e+01,1.167125669999999991e+04,-4.198166666666666380e+00,4.853257665962339651e+00,-1.401999999999999957e+01,5.160000000000000142e+00,4.941445600000000013e+03,9.847333333333333272e+00,1.148288216820537144e+01,-5.500000000000000000e+00,3.196999999999999886e+01,2.745918679999999949e+04,-1.459166666666666390e-01,2.986514829427252327e+00,-4.519999999999999574e+00,4.490000000000000213e+00,1.072867499999999836e+03,-7.818333333333333801e-01,7.372663283297894443e-01,-2.700000000000000178e+00,1.060000000000000053e+00,1.385790000000000077e+02,2.665833333333333388e-01,3.023873756137242186e+00,-5.280000000000000249e+00,4.389999999999999680e+00,1.105785500000000184e+03
4.403999999999999915e+00,8.536752153678431654e+00,-1.017999999999999972e+01,1.707999999999999829e+01,1.107256239999999889e+04,-1.333833333333333426e+00,2.601534221484613774e+00,-5.280000000000000249e+00,3.350000000000000089e+00,1.025651000000000067e+03,8.542166666666666686e+00,9.324022842755278262e+00,-4.919999999999999929e+00,2.342000000000000171e+01,1.918872160000000076e+04,-1.016666666666665372e-02,1.663099006540366798e+00,-2.560000000000000053e+00,2.620000000000000107e+00,3.319201999999999657e+02,-7.158333333333331827e-02,1.137974806277459949e+00,-2.029999999999999805e+00,2.350000000000000089e+00,1.560133000000000152e+02,1.103333333333333249e-01,1.801045036144910405e+00,-2.359999999999999876e+00,3.160000000000000142e+00,3.907123999999999455e+02
-5.757499999999999396e+00,1.246297217427154003e+01,-3.754999999999999716e+01,6.030000000000000249e+00,2.261693779999999970e+04,1.453333333333333421e-01,1.458768277996505214e+00,-3.310000000000000053e+00,4.740000000000000213e+00,2.578951999999999884e+02,5.795166666666667687e+00,1.370554595673671905e+01,-9.039999999999999147e+00,3.893999999999999773e+01,2.657111359999999695e+04,1.235000000000000264e-01,2.408912496681161475e+00,-4.349999999999999645e+00,4.160000000000000142e+00,6.981734000000000151e+02,-1.725833333333333386e-01,4.740929863668331135e-01,-1.399999999999999911e+00,1.320000000000000062e+00,3.054590000000000316e+01,1.738333333333333397e-01,2.274073504870842033e+00,-3.319999999999999840e+00,4.719999999999999751e+00,6.241953999999999496e+02
