0;-11.69;2.50;-1.34;0.82;-2.45;-3.98
1;-19.97;3.57;-2.51;0.60;-3.22;-3.66
2;-26.53;4.55;-2.42;0.40;-3.10;-2.73
3;-30.29;5.32;-2.17;0.33;-2.04;-1.37
4;-30.83;5.41;-2.62;0.31;-0.71;0.11
5;-27.88;4.60;-3.50;0.24;0.24;1.41
6;-22.80;3.17;-4.09;0.12;0.79;2.37
7;-16.98;1.83;-4.05;-0.01;1.10;2.96
8;-11.10;1.35;-3.69;-0.10;1.38;3.22
9;-5.59;1.80;-3.45;-0.17;1.60;3.18
10;-0.25;2.64;-3.12;-0.25;1.67;2.81
11;4.33;3.39;-2.26;-0.31;1.67;2.15
12;8.03;3.97;-0.79;-0.31;1.57;1.22
13;9.86;4.17;0.65;-0.19;1.32;0.12
14;9.78;3.64;2.08;0.03;0.85;-1.03
15;7.45;2.84;2.92;0.30;0.26;-2.09
16;2.54;2.45;2.08;0.58;-0.52;-2.97
17;-4.24;2.12;0.48;0.73;-1.45;-3.59
18;-12.56;2.73;-1.63;0.70;-2.33;-3.77
19;-20.71;3.82;-2.65;0.52;-3.05;-3.38
20;-26.81;4.79;-2.74;0.36;-2.79;-2.40
21;-30.23;5.55;-2.86;0.29;-1.85;-1.05
22;-30.52;5.48;-3.39;0.23;-0.76;0.37
23;-27.52;4.47;-3.96;0.14;0.07;1.63
24;-22.31;2.88;-4.18;0.02;0.67;2.59
25;-16.32;1.64;-4.14;-0.10;1.10;3.19
26;-10.36;1.09;-3.87;-0.20;1.38;3.43
27;-4.73;1.40;-3.38;-0.29;1.59;3.34
28;0.61;2.28;-2.73;-0.35;1.67;2.92
29;4.99;3.18;-1.75;-0.37;1.65;2.18
30;8.68;3.94;-0.33;-0.32;1.51;1.20
31;10.48;4.18;1.05;-0.17;1.28;0.06
32;10.19;3.61;2.33;0.07;0.80;-1.11
33;7.74;2.72;3.08;0.35;0.22;-2.19
34;2.41;2.40;1.98;0.62;-0.64;-3.08
35;-5.20;2.16;0.01;0.75;-1.69;-3.71
36;-13.97;2.75;-1.81;0.66;-2.72;-3.84
37;-21.96;3.84;-2.58;0.47;-3.21;-3.33
38;-27.66;4.68;-2.61;0.33;-2.64;-2.24
39;-30.79;5.40;-3.01;0.28;-1.55;-0.84
40;-30.54;5.36;-3.63;0.21;-0.53;0.56
41;-27.03;4.33;-4.15;0.09;0.25;1.78
42;-21.68;2.76;-4.32;-0.04;0.78;2.69
43;-15.66;1.56;-4.02;-0.16;1.18;3.24
44;-9.64;1.20;-3.55;-0.26;1.49;3.44
45;-4.05;1.75;-3.00;-0.33;1.64;3.30
46;1.13;2.63;-2.25;-0.38;1.68;2.82
47;5.54;3.62;-1.13;-0.39;1.53;2.06
48;8.76;4.28;0.23;-0.32;1.35;1.15
49;10.48;4.43;1.55;-0.15;1.11;0.04
50;10.13;3.84;2.81;0.08;0.71;-1.09
51;8.38;2.89;3.70;0.37;0.22;-2.11
52;4.42;2.22;2.78;0.68;-0.33;-2.98
53;-1.99;1.98;0.71;0.86;-1.26;-3.68
54;-9.01;1.99;-0.90;0.83;-2.11;-3.99
55;-16.53;3.01;-2.43;0.70;-2.58;-3.79
56;-24.19;4.08;-3.35;0.50;-2.98;-3.17
57;-30.35;4.95;-3.33;0.30;-2.56;-2.02
58;-32.76;5.19;-3.07;0.23;-1.34;-0.47
59;-31.31;4.59;-3.86;0.21;-0.00;1.04
60;-26.86;3.17;-4.94;0.10;0.74;2.22
61;-20.85;1.76;-5.24;-0.08;1.02;2.99
62;-14.93;0.97;-4.78;-0.22;1.09;3.39
63;-9.35;0.89;-4.20;-0.31;1.15;3.48
64;-4.08;1.52;-3.68;-0.38;1.34;3.31
65;0.96;2.56;-2.92;-0.44;1.47;2.87
66;5.42;3.58;-1.81;-0.47;1.56;2.15
67;8.66;4.27;-0.26;-0.44;1.47;1.19
68;10.26;4.42;1.57;-0.31;1.22;0.10
69;10.01;3.85;3.27;-0.06;0.77;-1.00
70;8.29;2.75;4.39;0.25;0.28;-2.00
71;4.54;2.14;3.61;0.60;-0.22;-2.85
72;-2.16;2.19;1.00;0.86;-1.23;-3.58
73;-10.55;2.36;-1.53;0.83;-2.32;-3.94
74;-19.17;3.43;-2.91;0.62;-3.06;-3.68
75;-26.29;4.50;-3.13;0.41;-2.95;-2.80
76;-30.74;5.32;-3.08;0.31;-2.06;-1.46
77;-31.67;5.63;-3.61;0.25;-0.79;0.06
78;-28.81;4.92;-4.40;0.15;0.20;1.43
79;-23.58;3.43;-4.81;-0.01;0.81;2.46
80;-17.22;2.01;-4.46;-0.17;1.17;3.12
81;-10.77;1.39;-3.76;-0.28;1.47;3.41
82;-4.58;1.64;-3.03;-0.36;1.68;3.35
83;1.20;2.39;-2.25;-0.41;1.78;2.93
84;6.09;3.21;-1.12;-0.42;1.67;2.17
85;9.92;3.79;0.62;-0.34;1.47;1.12
86;11.67;3.90;2.17;-0.12;1.16;-0.11
87;11.01;3.15;3.37;0.18;0.65;-1.35
88;8.12;2.23;3.59;0.51;-0.01;-2.46
89;2.63;1.82;1.93;0.81;-0.86;-3.38
90;-5.28;1.72;-0.58;0.90;-1.91;-4.01
91;-14.23;2.38;-2.65;0.75;-2.82;-4.11
92;-22.20;3.62;-3.31;0.49;-3.12;-3.55
93;-27.85;4.65;-3.26;0.32;-2.53;-2.44
94;-30.10;5.40;-3.32;0.23;-1.52;-1.06
95;-28.94;5.17;-3.68;0.14;-0.47;0.30
96;-24.51;3.85;-4.00;0.04;0.44;1.44
97;-18.17;2.38;-4.12;-0.05;1.15;2.23
98;-11.60;1.60;-4.17;-0.13;1.63;2.60
99;-5.42;1.71;-4.00;-0.21;1.73;2.53
100;-0.13;2.30;-3.75;-0.26;1.59;2.06
101;3.80;2.89;-3.38;-0.29;1.40;1.28
102;5.91;3.39;-2.87;-0.28;1.13;0.32
103;6.06;3.32;-2.08;-0.25;0.92;-0.66
104;4.12;2.97;-1.23;-0.19;0.75;-1.51
105;-0.13;3.13;-1.20;-0.11;0.33;-2.16
106;-7.19;3.40;-2.03;-0.07;-0.75;-2.68
107;-15.32;3.77;-2.74;-0.17;-1.95;-2.77
108;-22.45;4.32;-2.48;-0.31;-2.48;-2.22
109;-27.36;4.81;-1.83;-0.33;-1.99;-1.16
110;-29.54;5.05;-1.97;-0.26;-1.03;0.15
111;-28.58;4.52;-2.72;-0.25;-0.28;1.41
112;-24.98;3.29;-3.24;-0.31;0.16;2.46
113;-19.83;1.83;-3.47;-0.38;0.47;3.22
114;-14.50;0.79;-3.38;-0.45;0.67;3.68
115;-9.18;0.34;-2.94;-0.49;0.98;3.84
116;-4.11;0.97;-2.48;-0.52;1.24;3.74
117;0.88;1.76;-1.61;-0.53;1.46;3.36
118;5.72;3.11;-0.24;-0.52;1.86;2.72
119;9.92;4.15;1.82;-0.44;2.03;1.81
