0;-12.48;2.45;-7.27;-2.42;-0.42;-1.06
1;-13.79;1.69;-2.92;-3.25;0.12;-0.57
2;-15.58;0.98;3.16;-3.78;0.54;-0.03
3;-17.29;0.44;9.79;-3.94;1.01;0.59
4;-18.27;0.23;15.76;-3.76;1.41;1.20
5;-18.64;0.25;20.93;-3.25;1.83;1.87
6;-18.05;0.31;24.52;-2.51;1.91;2.49
7;-16.07;-0.06;26.99;-1.64;2.01;3.05
8;-12.42;-0.52;27.71;-0.70;2.15;3.50
9;-7.10;-0.98;26.90;0.20;2.08;3.69
10;-1.85;-1.41;25.29;1.03;1.89;3.55
11;2.30;-2.01;23.04;1.81;1.30;3.09
12;5.40;-2.80;19.60;2.60;1.04;2.44
13;6.44;-3.01;14.65;3.23;0.21;1.66
14;7.25;-2.98;9.35;3.56;-1.05;0.78
15;7.55;-2.57;4.71;3.55;-2.14;-0.16
16;6.91;-1.80;0.83;3.21;-3.31;-1.13
17;5.99;-1.26;-2.01;2.62;-4.03;-2.04
18;3.59;-0.64;-4.73;1.87;-4.18;-2.76
19;0.26;0.22;-7.07;1.01;-4.07;-3.21
20;-3.51;0.83;-8.77;0.05;-3.58;-3.36
21;-7.91;1.49;-9.82;-0.95;-2.88;-3.19
22;-12.04;2.04;-8.99;-1.98;-2.23;-2.75
23;-15.76;2.11;-5.69;-2.92;-1.42;-2.07
24;-18.69;2.01;-0.01;-3.61;-0.59;-1.23
25;-20.92;1.59;6.80;-3.94;0.34;-0.28
26;-22.10;1.20;13.68;-3.88;1.06;0.69
27;-21.95;0.84;19.43;-3.47;1.74;1.64
28;-20.78;0.45;23.35;-2.82;2.08;2.50
29;-18.24;-0.15;25.79;-2.04;2.25;3.21
30;-14.47;-1.03;27.21;-1.22;2.46;3.75
31;-9.65;-1.79;27.38;-0.36;2.65;4.10
32;-3.62;-2.35;26.59;0.47;2.59;4.11
33;1.70;-2.64;25.10;1.26;2.22;3.75
34;5.82;-2.98;22.82;2.04;1.52;3.04
35;7.83;-3.38;19.22;2.78;0.65;2.13
36;8.08;-3.75;14.66;3.36;-0.39;1.15
37;7.34;-3.75;9.73;3.66;-1.72;0.15
38;6.42;-3.17;5.49;3.64;-3.02;-0.84
39;4.73;-2.26;2.28;3.34;-3.78;-1.75
40;2.17;-1.07;-0.11;2.84;-4.02;-2.45
41;-0.49;-0.02;-1.95;2.22;-3.94;-2.86
42;-2.69;0.89;-3.64;1.52;-3.72;-3.04
43;-4.63;1.70;-5.05;0.78;-3.32;-3.07
44;-7.04;2.40;-6.29;0.02;-2.60;-2.93
45;-10.07;3.06;-7.02;-0.77;-1.87;-2.61
46;-12.97;3.47;-6.71;-1.58;-1.27;-2.11
47;-15.31;3.54;-4.75;-2.35;-0.62;-1.46
48;-17.14;3.25;-1.33;-2.96;-0.04;-0.73
49;-18.51;2.88;3.39;-3.36;0.46;0.02
50;-19.27;2.38;8.65;-3.51;1.05;0.81
51;-19.09;1.81;13.89;-3.39;1.48;1.58
52;-17.85;1.32;18.29;-3.01;1.93;2.26
53;-16.15;1.10;21.40;-2.46;2.14;2.82
54;-13.21;0.84;23.68;-1.80;2.23;3.25
55;-9.29;0.39;25.41;-1.10;2.42;3.53
56;-4.86;-0.19;25.95;-0.30;2.40;3.54
57;0.18;-0.63;24.95;0.57;1.99;3.26
58;4.38;-0.96;23.17;1.41;1.37;2.69
59;6.97;-1.32;20.96;2.09;0.71;1.95
60;8.46;-1.98;17.54;2.73;-0.17;1.00
61;8.28;-2.55;12.97;3.21;-1.31;-0.01
62;6.79;-2.50;8.18;3.40;-2.40;-0.99
63;4.42;-1.94;4.10;3.28;-3.24;-1.85
64;1.49;-1.01;0.95;2.88;-3.61;-2.47
65;-1.47;0.06;-1.41;2.31;-3.58;-2.82
66;-4.26;1.02;-3.60;1.67;-3.21;-2.91
67;-7.12;2.11;-5.70;0.95;-2.80;-2.82
68;-9.89;2.89;-7.55;0.15;-2.13;-2.54
69;-12.46;3.51;-8.81;-0.71;-1.43;-2.05
70;-14.22;3.59;-8.76;-1.61;-0.83;-1.43
71;-15.53;3.19;-6.62;-2.49;-0.30;-0.79
72;-16.78;2.67;-1.98;-3.22;0.21;-0.15
73;-17.90;2.00;4.40;-3.68;0.70;0.53
74;-18.03;1.25;11.28;-3.77;1.30;1.23
75;-17.33;0.79;17.08;-3.47;1.79;1.87
76;-15.96;0.72;21.22;-2.89;1.82;2.39
77;-13.42;0.70;24.22;-2.16;1.75;2.80
78;-9.91;0.45;26.14;-1.38;1.96;3.07
79;-5.80;0.03;27.09;-0.51;2.03;3.16
80;-1.12;-0.47;26.72;0.43;1.78;2.98
81;2.66;-0.89;24.52;1.34;1.23;2.51
82;5.14;-1.47;21.07;2.14;0.53;1.83
83;6.28;-2.19;16.56;2.78;-0.29;1.05
84;6.50;-2.54;11.65;3.16;-1.21;0.25
85;6.35;-2.41;7.61;3.22;-2.18;-0.59
86;5.30;-1.94;4.41;3.03;-2.76;-1.39
87;3.39;-1.18;1.97;2.64;-3.19;-2.09
88;0.84;-0.38;-0.25;2.14;-3.23;-2.58
89;-2.10;0.68;-2.46;1.56;-3.12;-2.82
90;-4.74;1.66;-4.21;0.87;-2.85;-2.84
91;-7.28;2.24;-5.83;0.12;-2.23;-2.68
92;-9.96;2.81;-7.08;-0.66;-1.65;-2.34
93;-12.41;3.17;-6.91;-1.50;-1.15;-1.86
94;-14.55;3.15;-4.81;-2.31;-0.52;-1.25
95;-16.54;2.89;-0.73;-2.96;0.06;-0.57
96;-17.79;2.35;4.93;-3.37;0.62;0.14
97;-18.40;1.82;10.94;-3.45;1.24;0.88
98;-18.29;1.37;16.03;-3.20;1.65;1.58
99;-17.25;1.23;19.79;-2.71;1.76;2.20
100;-14.94;1.00;22.46;-2.09;1.85;2.73
101;-11.64;0.49;24.04;-1.42;2.02;3.11
102;-7.82;-0.20;24.70;-0.67;2.07;3.26
103;-4.37;-0.61;23.86;0.13;1.76;3.17
104;-1.27;-0.78;21.99;0.89;1.24;2.87
105;1.81;-0.91;19.72;1.55;0.67;2.43
106;4.20;-0.95;17.37;2.12;0.59;1.88
107;5.03;-1.04;14.44;2.57;0.07;1.17
108;5.17;-1.26;11.32;2.90;-0.81;0.40
109;4.03;-1.20;7.57;3.07;-1.55;-0.31
110;2.76;-0.70;4.19;3.00;-2.31;-0.94
111;1.34;0.34;1.08;2.69;-2.74;-1.44
112;0.20;1.14;-1.56;2.17;-2.72;-1.80
113;-1.14;1.82;-4.14;1.52;-2.64;-2.02
114;-2.06;2.31;-6.04;0.81;-2.54;-2.13
115;-3.04;2.57;-7.48;-0.02;-2.28;-2.19
116;-4.61;2.58;-8.20;-0.89;-1.80;-2.14
117;-6.96;2.39;-8.13;-1.76;-1.38;-1.99
118;-9.78;2.20;-6.28;-2.60;-1.12;-1.72
119;-12.90;1.87;-2.83;-3.33;-0.65;-1.28
