0;5.79;-4.11;5.98;3.25;0.07;0.67
1;5.49;-3.32;5.77;3.03;-0.25;0.39
2;5.52;-2.79;6.05;2.81;-0.50;0.15
3;5.46;-2.29;6.45;2.66;-0.47;-0.04
4;5.21;-1.85;6.56;2.58;-0.35;-0.20
5;4.86;-1.22;6.09;2.52;-0.26;-0.36
6;4.25;-0.55;5.43;2.41;-0.32;-0.51
7;3.78;0.10;5.10;2.21;-0.47;-0.62
8;3.47;0.65;5.26;1.96;-0.71;-0.71
9;3.64;0.93;5.96;1.72;-0.85;-0.76
10;3.91;1.21;6.83;1.58;-0.75;-0.77
11;4.04;1.49;7.30;1.55;-0.56;-0.79
12;4.05;1.90;7.35;1.59;-0.31;-0.79
13;3.46;2.57;6.93;1.59;-0.27;-0.83
14;3.19;3.02;6.36;1.51;-0.36;-0.86
15;2.95;3.48;5.73;1.40;-0.38;-0.87
16;2.86;3.83;5.20;1.28;-0.29;-0.84
17;2.60;4.27;4.64;1.17;-0.12;-0.79
18;2.26;4.77;4.07;1.02;-0.07;-0.75
19;2.26;5.16;3.72;0.84;-0.04;-0.70
20;1.99;5.55;3.42;0.62;-0.01;-0.65
21;1.89;5.74;3.34;0.37;-0.10;-0.62
22;1.86;5.88;3.52;0.08;-0.29;-0.60
23;2.06;5.81;4.02;-0.20;-0.47;-0.60
24;2.37;5.60;4.72;-0.42;-0.54;-0.59
25;2.46;5.37;5.37;-0.55;-0.51;-0.60
26;2.37;5.27;5.84;-0.63;-0.42;-0.60
27;2.03;5.12;6.28;-0.72;-0.48;-0.62
28;2.08;4.80;6.89;-0.83;-0.54;-0.60
29;2.04;4.52;7.53;-0.89;-0.43;-0.54
30;2.07;4.24;8.14;-0.90;-0.30;-0.46
31;1.91;4.09;8.58;-0.88;-0.29;-0.42
32;2.14;3.92;8.90;-0.84;-0.28;-0.37
33;2.39;3.71;9.11;-0.78;-0.16;-0.30
34;2.41;3.65;9.21;-0.73;-0.01;-0.25
35;2.41;3.51;9.40;-0.69;0.02;-0.23
36;2.42;3.44;9.65;-0.66;0.02;-0.23
37;2.36;3.34;9.99;-0.62;-0.02;-0.24
38;2.41;3.22;10.38;-0.56;-0.03;-0.24
39;2.41;3.04;10.54;-0.48;-0.07;-0.25
40;2.64;2.98;10.61;-0.38;-0.02;-0.23
41;2.72;2.97;10.52;-0.30;-0.01;-0.24
42;2.90;2.87;10.27;-0.22;0.01;-0.27
43;2.67;2.94;10.10;-0.17;0.04;-0.31
44;2.39;2.99;9.93;-0.13;-0.00;-0.34
45;2.21;3.01;9.73;-0.09;0.02;-0.34
46;1.96;3.03;9.56;-0.05;0.07;-0.31
47;1.78;3.02;9.40;-0.02;0.08;-0.29
48;1.71;3.02;9.32;-0.02;0.06;-0.26
49;1.67;2.98;9.34;-0.03;0.03;-0.25
50;1.69;2.90;9.43;-0.02;0.05;-0.24
51;1.46;3.03;9.41;-0.01;0.05;-0.23
52;1.38;3.06;9.37;-0.00;0.01;-0.22
53;1.20;3.19;9.37;0.00;0.03;-0.20
54;1.00;3.22;9.26;0.01;-0.02;-0.17
55;0.98;3.28;9.22;0.01;-0.02;-0.12
56;0.92;3.31;9.15;0.01;-0.04;-0.05
57;0.93;3.34;9.06;0.01;-0.13;0.00
58;1.36;3.27;9.05;0.00;-0.13;0.06
59;1.58;3.19;9.00;0.01;-0.03;0.11
60;1.76;3.27;9.13;0.01;0.07;0.14
61;1.96;3.22;9.24;0.02;0.08;0.15
62;2.13;3.12;9.34;0.04;0.15;0.16
63;2.00;3.11;9.24;0.06;0.16;0.15
64;2.01;3.14;9.33;0.07;0.14;0.14
65;2.05;3.09;9.36;0.08;0.09;0.15
66;1.99;3.15;9.36;0.09;0.14;0.18
67;2.02;3.17;9.37;0.10;0.12;0.19
68;2.04;3.20;9.46;0.12;0.22;0.22
69;1.76;3.32;9.39;0.15;0.28;0.22
70;1.67;3.40;9.49;0.19;0.34;0.24
71;1.27;3.58;9.34;0.23;0.42;0.29
72;1.20;3.72;9.24;0.27;0.50;0.35
73;0.85;3.79;9.14;0.28;0.60;0.42
74;0.80;3.73;9.10;0.29;0.70;0.49
75;0.57;3.85;9.09;0.33;0.88;0.58
76;0.59;3.83;9.00;0.35;1.01;0.66
77;0.39;3.92;8.69;0.35;1.08;0.71
78;0.29;3.94;8.39;0.30;0.90;0.71
79;0.33;3.90;8.40;0.21;0.69;0.68
80;0.44;3.78;8.63;0.12;0.53;0.65
81;0.52;3.61;9.00;0.07;0.47;0.65
82;0.69;3.47;9.48;0.06;0.52;0.67
83;0.98;3.55;9.73;0.09;0.63;0.69
84;1.06;3.63;9.75;0.13;0.59;0.65
85;1.00;3.71;9.66;0.15;0.45;0.57
86;0.92;3.68;9.62;0.15;0.29;0.50
87;0.69;3.62;9.66;0.16;0.25;0.47
88;0.79;3.54;9.85;0.18;0.32;0.50
89;0.72;3.48;9.97;0.25;0.60;0.57
90;0.51;3.49;9.91;0.32;0.72;0.60
91;0.46;3.60;9.86;0.37;0.71;0.61
92;0.34;3.61;9.63;0.39;0.57;0.60
93;0.47;3.61;9.65;0.40;0.57;0.61
94;0.57;3.51;9.75;0.42;0.71;0.65
95;0.41;3.68;9.93;0.48;1.00;0.72
96;0.11;3.89;9.96;0.52;1.01;0.76
97;0.33;3.93;9.96;0.55;0.92;0.77
98;0.50;4.03;9.84;0.59;0.92;0.78
99;0.43;4.10;9.71;0.62;0.90;0.76
100;0.46;4.16;9.66;0.66;0.90;0.75
101;0.39;4.29;9.58;0.68;0.87;0.72
102;0.56;4.31;9.54;0.70;0.86;0.70
103;0.43;4.51;9.41;0.72;0.85;0.67
104;0.67;4.52;9.20;0.75;0.71;0.60
105;0.80;4.61;8.86;0.79;0.81;0.54
106;0.42;4.81;8.35;0.79;0.78;0.46
107;0.25;4.87;7.81;0.73;0.51;0.34
108;0.48;4.75;7.36;0.66;0.34;0.24
109;0.48;4.78;7.02;0.56;0.30;0.15
110;0.55;4.80;6.67;0.43;0.15;0.02
111;0.61;4.77;6.51;0.29;0.02;-0.13
112;0.50;4.84;6.52;0.12;-0.21;-0.31
113;0.53;4.76;6.71;-0.05;-0.45;-0.49
114;0.51;4.62;6.90;-0.18;-0.63;-0.63
