0;-19.37;-0.38;11.03;-4.09;0.57;0.68
1;-19.21;-1.24;15.19;-3.88;0.78;1.53
2;-17.64;-2.29;18.74;-3.53;1.21;2.30
3;-15.02;-3.17;21.77;-3.09;1.41;2.87
4;-11.49;-3.85;25.38;-2.49;1.46;3.26
5;-7.93;-4.42;28.38;-1.74;1.52;3.43
6;-4.66;-4.85;30.33;-0.83;1.47;3.38
7;-1.75;-4.79;30.44;0.24;1.12;3.18
8;1.13;-4.58;28.99;1.31;0.45;2.87
9;4.12;-4.37;26.91;2.26;0.13;2.40
10;5.38;-4.12;24.46;3.03;0.06;1.83
11;5.61;-4.53;21.67;3.69;-0.17;1.25
12;5.63;-5.26;16.83;4.32;-0.74;0.70
13;6.48;-5.41;10.64;4.75;-1.95;0.09
14;7.83;-4.86;4.39;4.79;-3.10;-0.69
15;8.12;-3.45;-0.80;4.38;-3.85;-1.60
16;7.01;-2.33;-5.16;3.60;-3.67;-2.45
17;4.16;-0.75;-9.47;2.63;-3.36;-3.04
18;0.98;0.42;-12.87;1.49;-3.26;-3.38
19;-2.91;1.81;-15.06;0.20;-2.79;-3.47
20;-7.24;2.40;-14.97;-1.13;-1.98;-3.26
21;-10.95;2.55;-13.11;-2.31;-1.39;-2.76
22;-13.71;2.09;-9.11;-3.31;-0.90;-2.11
23;-16.15;1.24;-4.68;-4.08;-0.43;-1.37
24;-17.16;0.11;0.83;-4.60;-0.07;-0.53
25;-16.46;-1.45;6.71;-4.85;0.60;0.29
26;-14.61;-2.52;13.15;-4.83;1.05;0.93
27;-13.37;-3.29;19.14;-4.50;1.44;1.35
28;-13.35;-3.55;24.14;-3.89;1.10;1.65
29;-14.57;-3.55;27.96;-3.06;0.49;1.94
30;-15.68;-3.61;30.42;-2.10;0.13;2.43
31;-12.55;-4.13;32.42;-1.12;0.65;3.11
32;-7.84;-4.99;33.08;-0.11;1.25;3.53
33;-3.44;-5.49;32.10;0.99;1.39;3.55
34;-0.28;-5.65;29.72;2.02;1.08;3.37
35;2.31;-6.04;26.35;2.97;0.71;3.08
36;4.30;-6.37;21.89;3.76;0.37;2.72
37;6.21;-6.44;17.20;4.30;0.01;2.26
38;7.47;-6.20;12.21;4.62;-0.62;1.64
39;9.32;-5.51;7.27;4.74;-1.54;0.91
40;10.18;-4.02;2.36;4.60;-2.47;0.05
41;10.91;-2.42;-1.24;4.13;-2.99;-0.88
42;9.60;-0.58;-4.69;3.37;-3.06;-1.75
43;7.66;0.75;-6.89;2.47;-2.99;-2.45
44;4.97;1.82;-8.56;1.53;-2.64;-2.90
45;2.03;2.83;-9.49;0.58;-2.37;-3.15
46;-1.49;3.17;-9.31;-0.39;-1.85;-3.24
47;-5.68;3.35;-8.76;-1.29;-1.30;-3.10
48;-9.18;3.15;-6.78;-2.08;-1.02;-2.74
49;-12.23;2.51;-4.02;-2.76;-0.63;-2.24
50;-14.79;1.77;-0.68;-3.29;-0.30;-1.66
51;-17.08;1.13;2.16;-3.62;-0.02;-0.96
52;-17.81;0.34;5.12;-3.80;0.16;-0.19
53;-17.62;-0.42;7.88;-3.88;0.41;0.54
54;-16.59;-1.22;10.84;-3.86;0.77;1.21
55;-14.73;-1.87;14.31;-3.74;1.01;1.76
56;-12.59;-2.47;17.90;-3.46;1.15;2.15
57;-11.37;-2.68;20.84;-3.00;0.95;2.40
58;-10.71;-2.83;24.26;-2.40;0.52;2.59
59;-9.29;-3.08;27.09;-1.75;0.74;2.84
60;-6.56;-3.55;29.14;-0.91;1.13;3.08
61;-3.20;-3.58;29.17;0.09;0.90;3.10
62;0.37;-3.49;27.62;1.08;0.40;2.87
63;3.00;-3.18;25.46;1.89;0.18;2.53
64;4.24;-3.17;23.45;2.57;0.03;2.07
65;4.56;-3.58;21.39;3.19;-0.06;1.61
66;4.34;-3.93;17.90;3.76;-0.52;1.17
67;5.00;-4.30;13.45;4.21;-1.26;0.71
68;5.55;-3.91;8.40;4.41;-1.98;0.20
69;6.52;-2.92;4.43;4.28;-2.47;-0.40
70;6.59;-1.70;1.34;3.89;-2.64;-1.04
71;6.11;-0.50;-1.10;3.34;-2.50;-1.63
72;5.30;0.51;-3.11;2.69;-2.51;-2.11
73;4.26;1.43;-5.19;1.98;-2.54;-2.53
74;2.61;2.12;-6.89;1.18;-2.50;-2.91
75;-0.47;2.69;-7.97;0.29;-2.25;-3.13
76;-3.86;3.02;-7.75;-0.62;-1.86;-3.13
77;-6.81;2.84;-6.65;-1.44;-1.44;-2.92
78;-9.31;2.64;-5.26;-2.13;-1.08;-2.56
79;-11.32;2.29;-4.07;-2.72;-0.69;-2.09
80;-12.68;1.74;-2.61;-3.27;-0.37;-1.54
81;-13.81;0.94;-0.58;-3.74;-0.12;-0.96
82;-14.72;0.13;3.18;-4.15;0.25;-0.37
83;-15.73;-0.72;8.28;-4.38;0.84;0.24
84;-17.17;-1.19;14.05;-4.36;1.33;0.84
85;-18.55;-1.48;19.36;-4.02;1.38;1.47
86;-19.57;-1.74;22.67;-3.39;0.92;2.17
87;-19.36;-2.32;24.57;-2.64;0.46;2.92
88;-17.45;-3.49;25.43;-1.90;0.47;3.72
89;-12.98;-4.65;26.11;-1.23;0.95;4.42
